nome,marca,modello,prezzo,velocita_kmh,batteria_mAh,minuti_volo,immagine,descrizione
DJI Inspire 3,DJI,Inspire 3,15999,94,4280,28,,Drone cinematografico professionale con prestazioni di alto livello.
DJI Phantom 4 Pro V2.0,DJI,Phantom 4 Pro V2.0,1699,72,5870,30,,Modello iconico con sensore da 1 pollice e grande stabilità.
Autel EVO II Pro,Autel Robotics,EVO II Pro,1795,72,7100,40,,Drone avanzato con fotocamera 6K e lunga autonomia.
Autel EVO II Dual 640T,Autel Robotics,EVO II Dual 640T,9999,72,7100,38,,Drone professionale con doppia camera termica e visiva.
Parrot Bebop 2,Parrot,Bebop 2,399,60,2700,25,,Drone leggero e stabile, ideale per riprese amatoriali.
Parrot Disco FPV,Parrot,Disco FPV,1299,80,2700,45,,Drone ad ala fissa con grande autonomia e velocità.
Holy Stone HS700E,Holy Stone,HS700E,349,40,2800,22,,Drone entry‑level con GPS e buona stabilità.
Holy Stone HS510,Holy Stone,HS510,199,36,1500,16,,Compatto e pieghevole, perfetto per viaggi e principianti.
Ryze Tello EDU,Ryze,Tello EDU,159,28,1100,13,,Versione educativa del Tello, ideale per apprendimento e coding.
Potensic Dreamer Pro,Potensic,Dreamer Pro,499,60,3000,28,,Drone solido con buona qualità video e funzioni intelligenti.
